FID,osmid,POINT_X,POINT_Y
0,35830207,-82.3357295,29.6426216
1,35830208,-82.3369442,29.6423767
2,35830209,-82.3376476,29.6421202
3,35830210,-82.3389864,29.6413011
4,35830211,-82.3396419,29.6408153
5,35830212,-82.3408865,29.6399557
6,35830213,-82.3426171,29.639211
7,35830214,-82.3440514,29.6387494
8,35830215,-82.3444305,29.6385859
9,35830216,-82.3447252,29.6385145
10,35830217,-82.3453775,29.6382236
11,35830218,-82.3461349,29.6379919
12,84714117,-82.3724351,29.6270865
13,84714123,-82.3734709,29.6262885
14,84717082,-82.3512977,29.6349858
15,84717103,-82.3510236,29.632978
16,84717105,-82.3518277,29.632892
17,84717106,-82.3520279,29.6328499
18,84717107,-82.352437,29.632722
19,84717108,-82.3526132,29.6327241
20,84717109,-82.3528503,29.632789
21,84718097,-82.3682083,29.6254538
22,84718243,-82.369042,29.625594
23,84718245,-82.369213,29.625745
24,84718246,-82.3693803,29.6257353
25,84718247,-82.3695456,29.6257779
26,84718248,-82.3696847,29.6258216
27,84718249,-82.3697937,29.625925
28,84718253,-82.370886,29.62741
29,84726915,-82.3649021,29.627476
30,84726917,-82.3645687,29.6274784
31,84726919,-82.3640153,29.627484
32,84726924,-82.3645427,29.6267904
33,84726927,-82.3647716,29.6266843
34,84726929,-82.3647901,29.6262314
35,84729190,-82.3485998,29.6448746
36,84729194,-82.3485981,29.6457235
37,84729256,-82.3424296,29.6344057
38,84729257,-82.342696,29.634428
39,84730440,-82.3356977,29.6413822
40,84730446,-82.3352872,29.6413741
41,84730448,-82.3352237,29.6413498
42,84730450,-82.3351923,29.641311
43,84730452,-82.3350203,29.6408763
44,84730454,-82.3350216,29.6408315
45,84730457,-82.3350423,29.6407871
46,84730458,-82.3350854,29.6407538
47,84730463,-82.3357083,29.6405547
48,84730465,-82.335928,29.640516
49,84731003,-82.342312,29.640585
50,84731004,-82.34209,29.640182
51,84731006,-82.3418426,29.6397419
52,84731010,-82.3415331,29.6391642
53,84731027,-82.3353529,29.6390431
54,84733256,-82.3475689,29.6521251
55,84733260,-82.347178,29.6506259
56,84738224,-82.367811,29.627023
57,84739176,-82.333833,29.63809
58,84739177,-82.33416,29.638114
59,84739181,-82.334284,29.638113
60,84739183,-82.334364,29.638087
61,84739184,-82.334396,29.638013
62,84739187,-82.334403,29.637773
63,84739188,-82.334391,29.637506
64,84739189,-82.334367,29.637276
65,84739191,-82.334326,29.637067
66,84739192,-82.334275,29.6368041
67,84739194,-82.334256,29.6366941
68,84740647,-82.3717118,29.6266653
69,84740773,-82.372106,29.6260696
70,84743086,-82.3615216,29.6503988
71,84743095,-82.3612446,29.6469159
72,84743127,-82.3695158,29.6409816
73,84747907,-82.3607879,29.6448674
74,84747916,-82.3638279,29.6429038
75,84747941,-82.365457,29.6422746
76,84747972,-82.3570148,29.6404348
77,84747978,-82.3570088,29.6401548
78,84747984,-82.3570389,29.6394702
79,84747987,-82.357082,29.6387711
80,84747990,-82.3571194,29.6384563
81,84747993,-82.3571457,29.6382176
82,84748032,-82.362779,29.6376439
83,84748034,-82.362744,29.638191
84,84748035,-82.3627507,29.6382392
85,84748039,-82.3630037,29.6383305
86,84748040,-82.3630696,29.6383995
87,84748042,-82.3631381,29.6385239
88,84748048,-82.3631891,29.6385695
89,84748052,-82.3633786,29.6386087
90,84748054,-82.3637884,29.6385003
91,84748055,-82.3641848,29.6384781
92,84751988,-82.365977,29.625645
93,84751990,-82.365612,29.625633
94,84751992,-82.365168,29.625594
95,84751994,-82.364804,29.625518
96,84751996,-82.364534,29.625494
97,84751998,-82.3640434,29.6255095
98,84752001,-82.363266,29.6255707
99,84752003,-82.363155,29.6256316
100,84752014,-82.362531,29.625698
101,84752017,-82.361317,29.6258031
102,84752052,-82.364391,29.630608
103,84752055,-82.364297,29.630368
104,84752056,-82.364287,29.629583
105,84752058,-82.364268,29.629398
106,84752956,-82.3503284,29.6464949
107,84752958,-82.3503205,29.6468275
108,84752961,-82.35031,29.646898
109,84752962,-82.3502262,29.6469604
110,84752964,-82.3497417,29.6472473
111,84755731,-82.3617863,29.6288712
112,84755733,-82.3621505,29.6288663
113,84755735,-82.3621635,29.6285561
114,84755737,-82.3635673,29.6285661
115,84755739,-82.3635563,29.6294135
116,84755740,-82.3634331,29.6296085
117,84755743,-82.3633391,29.6297888
118,84755746,-82.3633411,29.6299607
119,84755748,-82.363441,29.630051
120,84755749,-82.363628,29.630264
121,84755752,-82.363654,29.630477
122,84755753,-82.3631795,29.6310092
123,84755755,-82.3630525,29.6308244
124,84755757,-82.3627258,29.6308294
125,84755760,-82.3616751,29.6308305
126,84762745,-82.3394312,29.6278988
127,84762746,-82.3397832,29.6278812
128,84762747,-82.3400939,29.6278505
129,84762748,-82.3403893,29.6278079
