From,To,length(in meters)
170,93,39.719
2918,3111,251.81
24248,24327,41.08
24415,24327,40.375
1715,1701,8.54
1701,1679,17.601
789,814,8.063
814,793,3.369
765,772,7.368
793,772,6.478
1627,1634,12.507
1796,1741,49.63
1698,1741,18.379
1741,1762,9.74
1796,1829,9.572
1762,1829,49.427
1762,1719,33.582
1704,1686,7.014
1719,1686,28.59
1717,1699,14.37
1719,1699,9.77
1450,1599,109.396
1611,1599,10.371
1533,1464,37.06
1464,1401,103.812
1286,1285,6.033
1269,1277,10.25
1285,1277,6.482
1269,1237,13.165
1237,1208,10.456
1208,1091,82.749
793,888,87.146
1006,888,93.675
1327,1295,11.151
1269,1295,8.819
417,442,29.602
442,492,46.804
492,529,34.342
529,562,38.146
789,674,111.416
562,674,131.098
814,822,5.084
822,827,5.112
827,841,8.668
841,850,8.233
1295,1459,218.418
2022,2091,20.275
2149,2091,8.201
2066,2091,15.669
2119,2091,8.531
2210,2324,61.061
2653,2646,7.051
2810,2885,42.96
2943,2963,32.058
2963,2944,32.733
2944,2782,208.185
2589,2602,2.94
2267,2239,8.432
2202,2239,8.447
3071,3018,12.734
2994,2984,13.883
2943,2984,6.005
3018,2984,7.12
7149,7550,50.296
7550,7622,18.802
7622,7625,11.928
7778,7704,38.833
7625,7704,25.987
3190,3235,20.564
3235,3323,40.806
3323,3690,102.739
3690,3773,18.787
3773,3842,11.049
3916,3936,16.199
3936,4024,45.95
4024,4060,15.492
9458,9346,9.43
1178,1139,15.556
1139,1104,13.007
1104,1024,33.942
1024,913,45.698
913,838,38.579
838,768,37.073
768,726,31.275
726,669,38.991
446,394,51.536
394,345,40.336
270,266,4.007
264,266,7.011
345,266,51.529
266,179,41.768
179,123,31.833
123,92,13.777
21045,20995,5.138
245,252,4.413
242,234,6.064
234,212,6.623
181,187,5.913
242,251,3.224
265,251,9.648
194,189,4.797
183,189,4.913
194,210,5.25
251,254,3.241
465,338,87.569
252,255,5.448
254,255,5.054
245,237,2.193
212,193,6.876
187,193,5.432
183,135,25.821
181,180,4.088
183,180,4.573
6803,6860,9.281
1749,1781,14.977
2225,2192,20.234
7149,7178,7.275
7178,7185,7.278
16886,16806,8.593
16759,16806,4.242
8104,8229,20.705
12012,11993,2.237
20588,18415,151.898
11011,11017,1.491
11014,11017,44.61
20995,20927,5.168
21199,21344,6.878
4455,4375,10.162
4262,4375,15.502
6076,5967,10.736
7674,7620,11.481
7550,7620,9.087
7203,7062,11.191
8937,8912,13.158
9538,9610,10.152
9326,9548,26.04
3422,3293,58.593
2698,2696,16.316
558,559,16.481
7894,8170,40.093
204,207,15.88
752,750,16.529
8825,8402,36.594
1858,1865,16.092
750,712,16.97
9538,9634,19.037
9610,9634,14.784
16792,16796,10.477
42,44,10.976
44,33,20.072
14,22,48.02
37,22,52.795
42,40,16.579
37,40,22.134
5181,5180,47.444
1352,1335,9.774
1577,1590,3.95
1597,1590,2.945
1307,1304,3.367
1307,1315,3.207
1304,1299,3.126
1597,1602,3.55
1577,1540,18.18
1531,1540,2.437
1531,1524,3.885
1352,1485,87.964
1335,1319,8.141
1315,1319,1.971
1591,1581,7.449
1485,1496,3.326
1496,1501,2.493
1581,1582,10.371
1524,1523,6.106
1501,1523,8.468
1582,1321,142.142
1321,1311,4.539
1602,1587,20.357
1582,1587,7.014
1299,1305,2.816
1311,1305,2.654
1591,1595,6.659
1597,1568,83.986
23358,23293,12.908
2957,2850,56.821
2710,2850,86.704
2957,2977,24.956
2984,2977,8.542
22006,21700,29.857
22736,22744,2.839
24235,24065,66.574
24358,24348,10.319
24472,24468,8.544
24475,24480,124.869
24472,24480,11.208
24598,24592,5.379
24471,24592,59.403
