OBJECTID,osmid,POINT_Y,point_x
1,1801998904,-82.3572573,29.6253972
2,7025251107,-82.3698065,29.6253987
3,6133150524,-82.3732136,29.6254016
4,1801998854,-82.3572922,29.6254042
5,3881267243,-82.3391854,29.625411
6,7120553033,-82.3662401,29.6254158
7,84897923,-82.356281,29.625418
8,1801998881,-82.3573807,29.6254275
9,4072027096,-82.3669267,29.6254286
10,7025327798,-82.3706726,29.6254361
11,1801998890,-82.357177,29.6254361
12,7120553034,-82.3662986,29.6254442
13,4135877501,-82.356153,29.625448
14,84718097,-82.3682083,29.6254538
15,2623758983,-82.3561093,29.6254583
16,1801998818,-82.3567535,29.6254611
17,1801998894,-82.3592449,29.6254648
18,7120518777,-82.3727663,29.6254721
19,7120553032,-82.3660238,29.6254741
20,1801998878,-82.3587191,29.6254741
21,1384607448,-82.3662026,29.6254834
22,1384638804,-82.3677134,29.6254915
23,2623758985,-82.3558548,29.625492
24,84751996,-82.364534,29.625494
25,8389525368,-82.3719128,29.625505
26,1801998816,-82.3587433,29.6255068
27,8389525369,-82.3717045,29.6255087
28,84751998,-82.3640434,29.6255095
29,6133150508,-82.372798,29.6255111
30,1801998933,-82.3588077,29.6255114
31,8389525367,-82.3719514,29.6255158
32,84751994,-82.364804,29.625518
33,1384607492,-82.3664526,29.6255189
34,1801998871,-82.3566233,29.625524
35,7025251096,-82.3714419,29.625525
36,7025251097,-82.3713529,29.6255274
37,84835558,-82.3671693,29.6255331
38,8389525366,-82.3719743,29.6255339
39,4135877502,-82.3553778,29.6255399
40,1384638906,-82.3669406,29.6255431
41,7121895020,-82.3407675,29.6255459
42,84835556,-82.3667693,29.6255506
43,7307707653,-82.3717058,29.6255518
44,1384607396,-82.3666559,29.6255557
45,8389525365,-82.3719795,29.6255638
46,7025251098,-82.371253,29.6255638
47,84752001,-82.363266,29.6255707
48,2168048247,-82.374024,29.6255778
49,6133150511,-82.3736993,29.6255834
50,1276695597,-82.3714238,29.625588
51,7121895025,-82.3396821,29.625591
52,618869382,-82.3723615,29.6255918
53,7071032917,-82.3368031,29.6255938
54,84718243,-82.369042,29.625594
55,84751992,-82.365168,29.625594
56,8389525364,-82.3719732,29.6255955
57,7025327799,-82.3707898,29.6256005
58,1494779259,-82.3725402,29.6256029
59,84836456,-82.3563392,29.6256075
60,7121895037,-82.3401508,29.6256079
61,7121895024,-82.3396916,29.6256183
62,1801998885,-82.360889,29.6256187
63,84850449,-82.333649,29.625628
64,541315176,-82.3659776,29.6256301
65,2623758987,-82.3546904,29.6256301
66,7025251108,-82.3698889,29.6256311
67,84752003,-82.363155,29.6256316
68,84751990,-82.365612,29.625633
69,1801998892,-82.3606798,29.625635
70,6133150523,-82.3729282,29.6256358
71,7121895023,-82.3397121,29.6256361
72,84804374,-82.3540782,29.6256397
73,3809390261,-82.3726403,29.6256403
74,3809390262,-82.3722678,29.625643
75,7121895022,-82.3397408,29.6256444
76,84751988,-82.365977,29.625645
77,7121895021,-82.3397763,29.6256456
78,3801708687,-82.3738139,29.6256469
79,7025688886,-82.3610181,29.6256685
80,6133150507,-82.3725447,29.6256794
81,6133150510,-82.3736537,29.6256813
82,1801998950,-82.3600361,29.625684
83,4230900831,-82.3574114,29.625689
84,4072027098,-82.3691147,29.6256926
85,84752014,-82.362531,29.625698
86,7025228684,-82.3713799,29.6257015
87,7025251085,-82.3713096,29.625704
88,7025688887,-82.3610528,29.6257062
89,4230900832,-82.3571988,29.625712
90,6133150518,-82.3735855,29.6257323
91,84718246,-82.3693803,29.6257353
92,1021355268,-82.3562214,29.6257364
93,3809390264,-82.3722755,29.6257442
94,84718245,-82.369213,29.625745
95,7025688895,-82.3593458,29.6257455
