length,from(ID),To(ID)
3.436,0,9946
7.415,13011,0
2.847,13013,0
44.23,24386,1
31.051,6403,1
42.716,6403,2
17.234,24388,2
35.651,6388,3
83.254,4,3
21.769,4572,4
18.908,7140,5
38.833,1588,5
11.256,7138,6
17.177,7137,6
17.238,6376,7
40.901,8,7
8.618,6372,8
6.436,6370,9
36.445,6367,9
34.417,6367,10
21.316,6363,10
3.693,24878,11
13.875,24875,11
11.888,12,4374
22.467,12,5072
23.59,2521,12
12.291,4375,12
11.663,13,13174
10.487,13,13176
34.158,2515,13
251.81,14,24918
13.07,4156,14
9.134,24912,14
41.728,6338,14
61.526,10586,15
12.065,2366,15
104.198,599,15
19.908,17,16
16.778,10586,16
22.925,6322,17
17.032,19,18
19.099,6322,18
12.994,6321,19
42.865,6323,20
11.125,6321,20
11.424,6320,20
48.02,1741,21
13.023,6304,22
11.146,6304,23
7.516,23,11564
16.207,24,23
59.592,27,23
16.665,25,24
14.296,26,25
15.595,27,26
18.479,6307,27
14.405,11562,27
21.649,334,28
87.569,1641,28
56.433,333,28
32.227,30,29
53.494,31,30
64.695,171,30
60.758,188,30
25.074,33,32
20.749,187,32
16.015,188,32
50.392,34,33
9.207,7858,35
8.727,7845,35
8.805,219,35
3.736,36,17872
3.216,17843,36
4.887,17871,36
25.867,38,37
17.591,12769,37
23.444,6033,37
39.683,40,39
16.683,7319,39
92.02,47,39
6.705,41,40
5.275,42,41
51.115,43,42
4.983,44,43
5.327,45,44
5.573,46,45
64.142,47,46
16.439,7318,47
10.475,827,47
5.226,7318,48
17.467,957,48
95.506,956,48
8.298,7141,49
23.094,10198,49
6.517,10078,50
41.385,7141,50
11.481,1714,51
11.043,51,4536
9.454,4540,51
10.946,4539,51
50.296,1585,52
8.103,11039,52
7.275,1677,52
87.399,832,53
3.48,13493,53
5.837,54,4990
42.529,13503,54
76.516,14446,55
8.448,14619,55
5.907,15130,55
37.473,214,56
57.821,213,56
31.716,58,57
11.985,59,58
8.255,60,59
8.79,61,60
26.695,62,61
29.712,63,62
25.68,64,63
9.994,11049,64
29.646,66,65
13.581,11049,65
12.369,67,66
15.338,11051,66
17.44,67,12849
11.197,11560,68
21.355,331,68
47.165,11561,68
12.803,69,1466
26.741,330,69
39.719,4642,69
4.891,5775,70
94.925,476,70
81.273,15244,70
5.025,21412,71
13.077,3742,71
15.081,21130,72
12.988,17325,72
5.381,17324,72
15.361,21129,72
7.504,5724,73
9.066,21801,73
13.153,1255,73
8.611,21667,74
6.244,17444,74
8.779,8592,74
5.625,2847,75
101.096,13205,75
31.14,77,76
3.916,22143,76
23.332,22157,76
4.437,22170,77
26.674,22128,78
26.163,22142,78
35.19,80,79
21.663,22153,79
21.445,8002,80
5.219,8002,81
87.624,871,81
41.821,204,81
11.059,6297,82
135.364,455,82
